회사명,주소,기업규모
주식회사 밸런바이옴,경기도 부천시 부천로198번길 36 102동 1508호 (춘의동 춘의테크노파크),중소기업
(주)트라이스,서울특별시 노원구 공릉로 232 907호 (공릉동 (재)서울테크노파크),중소기업
주식회사 선영,경기도 화성시 동탄첨단산업1로 63-12 514호810호(영천동 동탄비즈타워),중소기업
주식회사 대원정보문화,서울특별시 금천구 가산디지털1로 168 C동 409호 (가산동 우림라이온스밸리),중소기업
주식회사 인텔리코어,서울특별시 노원구 한글비석로49길 1 2층(상계동),중소기업
주식회사 한샘그린텍,경기도 용인시 기흥구 흥덕1로 13 B동 11층 1115호(영덕동 흥덕IT밸리),중소기업
주식회사 노벨테크놀로지,경기도 군포시 엘에스로 175 4층(산본동 에스에이타워 404-B),중소기업
(주)마루텔레콤,경기도 군포시 엘에스로 13 1101(당정동 신일아이티유토지식산업센터),중소기업
주식회사 자몽,대구광역시 수성구 알파시티1로35길 1 7층 (대흥동),중소기업
블레이즈,전라남도 순천시 해룡면 해룡산단6로 138,중소기업
주식회사 플러스파크,서울특별시 서초구 청룡마을3길 2 2층 (신원동),중소기업
조성기업,전라남도 순천시 연향중앙상가길 80 101동 1004호(연향동 현대아파트),중소기업
(주)오너스,서울특별시 금천구 가산디지털2로 98 1동 5층 501호 (가산동),중소기업
가가물류,전라남도 순천시 해룡면 상비길 9 1층 1호,중소기업
아이티드림,충청북도 청주시 청원구 상당로 314 310호 (내덕동 청주첨단문화산업단지내 3층),중소기업
주식회사 시원코리아,서울특별시 마포구 대흥로4길 74 2층 (토정동),중소기업
서울외국환중개주식회사,서울특별시 중구 삼일대로 358 (을지로2가),중소기업
(주)피닉스씨엔씨,경기도 하남시 미사강변서로 25 에프 538호 (풍산동 미사 테스타타워 지식산업센터),중소기업
보나오라,인천광역시 서구 청마로 94 101동 405호 (당하동 더 캐슬),중소기업
기안산업,광주광역시 북구 첨단과기로208번길 43-10 B동 3층 318호(오룡동),중소기업
효성티앤에스(주),서울 강남구 광평로 281(수서동수서빌딩),대기업
클루피 주식회사,대구광역시 북구 호암로 51 2층 215호 대구삼성창조캠퍼스 벤처오피스 (침산동),중소기업
주식회사 아이디어라임,서울특별시 강남구 강남대로162길 36 4층(신사동 동양빌딩),중소기업
주식회사 비씨티원,서울특별시 구로구 디지털로31길 53 410호 (구로동 이앤씨벤처드림타워5차),중소기업
보아스소프트 주식회사,서울특별시 강남구 학동로 126 402호(논현동 신원빌딩),중소기업
재승사무기,경상남도 고성군 고성읍 동외로 93,중소기업
고려OA,경상남도 고성군 고성읍 동외로 95 1층,중소기업
(주)인사이트정보,경상남도 양산시 동면 금오로 242 401호(굿프라임빌딩),중소기업
수로보틱스,대전광역시 서구 문정로170번길 15 1동 B1층 04호 (둔산동),중소기업
유한회사 중앙기술공사,전라북도 전주시 덕진구 오공로 144 3층 301호(만성동 중앙빌딩),중소기업
(주)지아이데이타,서울특별시 강남구 테헤란로 309 2013호 (역삼동 삼성제일빌딩 20층),중소기업
주식회사 에이치에스정보기술,경상북도 김천시 영남대로 1431-1 (부곡동),중소기업
주식회사 위앤유텍,서울특별시 송파구 백제고분로 75 904호 (잠실동 올림피아),중소기업
주식회사엔클라우드,강원도 삼척시 중앙로 230 3층 (남양동),중소기업
(주) 한빛에스아이,서울특별시 서초구 언남길 5 1층(양재동 신성빌딩),중소기업
주식회사 럭스로보,서울특별시 서초구 강남대로 311 13층 (서초동 한화생명빌딩),중소기업
주식회사 에스위너스,부산광역시 해운대구 센텀중앙로 97 제에이동609610호 (재송동 센텀스카이비즈),중소기업
주식회사 이플랜,충청북도 청주시 상당구 1순환로1656번길 13 (용담동),중소기업
주식회사 데이터쿡,서울특별시 마포구 월드컵로8길 45-8 3층 3073호 (서교동),중소기업
다알시스 주식회사,경기도 수원시 영통구 광교로 107 보육동 3층 306호(이의동 경기도 경제과학진흥원 경기벤처창업보육센터),중소기업
(주)엠앤디,서울특별시 서초구 효령로34길 4 2층 202호 (방배동 프린스효령빌딩),중소기업
(주)아워브레인,서울특별시 송파구 송파대로 167 B동 B501.B502호 (문정동 문정역테라타워),중소기업
(주)지더블유캐드코리아,서울특별시 강남구 학동로23길 49 2층 3층 (논현동),중소기업
에스에이치통신,경기도 이천시 이섭대천로 1326 지하층 (증포동),중소기업
(주)직스테크놀로지,서울특별시 강남구 도산대로4길 13 (논현동 대기빌딩 3층),중소기업
주식회사 메타아이원,광주광역시 동구 필문대로 309 504호(서석동 조선대학교 창업보육센터),중소기업
제이투모로우원,광주광역시 북구 첨단과기로 123 창업진흥센터B동 203호(오룡동 광주과학기술원),중소기업
(주)아이오티스페이스,서울특별시 마포구 월드컵북로 59 레이즈빌딩 2층 (성산동),중소기업
주식회사 대영모빌리티,세종특별자치시 집현중앙7로 6 비동 818호 819호 (집현동 세종대명벨리온지식산업센터),중소기업
렙톤소프트,충청남도 아산시 염치읍 은행나무길 223 B층 102-2호(충청남도경제진흥원),중소기업
(사)아름다움나눔협회,경기도 고양시 덕양구 호국로 787 306호 (주교동 원당메디컬프라자),중소기업
주식회사 유니온시스템즈,서울특별시 성동구 아차산로17길 49 1209호 1210호 (성수동2가생각공장데시앙플렉스),중소기업
주식회사 씨아이에스엠텍,서울특별시 금천구 디지털로9길 32 a동 3층 (가산동),중소기업
(주)이씨마이너,서울특별시 강남구 도곡로 151 3층 (역삼동 상준빌딩),중소기업
해피씨티아이 주식회사,충청남도 천안시 동남구 신촌로 41 319호(신방동),중소기업
수퍼게이트 주식회사,서울특별시 강남구 언주로85길 7 3층 (역삼동 서원빌딩),중소기업
(주)이든아이티,서울특별시 마포구 마포대로 173 현대하이엘 1320호 (공덕동),중소기업
업템포마케터즈,서울특별시 강남구 선릉로99길 9 2층 (역삼동),중소기업
(주)메가라임시큐리티,서울특별시 금천구 디지털로9길 68 1309호 (가산동 대륭포스트타워 5차) (가산동),중소기업
주식회사 클라우드소프트,대전광역시 중구 동서대로 1218 7층 (태평동),중소기업
(주)카이랩,경기도 하남시 미사강변한강로 155 에이동 6층 622 (망월동미사강변 SK V1 center),중소기업
주식회사 크리스탈소프트,대전광역시 동구 우암로85번길 50 2층 (삼성동),중소기업
(주)레드스톤시스템,서울특별시 용산구 이태원로 223-5 비101호 (한남동유니언타운 한남점),중소기업
(주)대산시스템,경상남도 김해시 주촌면 소망길 88 201 202-1호 (경남테크노파크),중소기업
주식회사 서일엔지니어링,경기도 성남시 수정구 위례서일로 22 911호(창곡동 이너매스우남),중소기업
디자인아침,서울특별시 서초구 방배중앙로 16 5층 501호(방배동 완원빌딩),중소기업
주식회사 호윤,서울특별시 강남구 선릉로93길 40 6층 608호 (역삼동),중소기업
대광정보통신,충청북도 청주시 상당구 용암북로168번길 48-8 1-2호 (용암동),중소기업
주식회사 언리얼컴퍼니,경기도 안양시 동안구 시민대로327번길 11-41 404호 (관양동),중소기업
이룩크리에이티브,대구광역시 동구 동대구로 461 901 903호(신천동 대구경북디자인진흥원),중소기업
(주)누리인프라,서울특별시 관악구 쑥고개로 87 (봉천동반석빌딩5층),중소기업
주식회사 쉬모스랩,서울특별시 강남구 논현로26길 21 3층 (도곡동),중소기업
주식회사 라원플랫폼,서울특별시 강서구 마곡중앙로 59-11 엠비즈타워 501502호 (마곡동),중소기업
클릭소프트(주),대전광역시 서구 둔산대로117번길 95 에프동 5층 (만년동 리더스타운),중소기업
주식회사 제나드이엔씨,경기도 화성시 동탄대로 635 12층 1204호 (영천동 SH스퀘어 1차),중소기업
엠케이이앤에스 주식회사,대구광역시 남구 현충로 170 영남이공대학교 천마스퀘어 909호 (대명동),중소기업
(주)에스티이지,서울특별시 금천구 가산디지털1로 128 10층 1009호 (가산동 STXV타워),중소기업
이앤아이랭귀지스쿨,대구광역시 북구 유통단지로24길 17 (산격동),중소기업
(주)티스퀘어,서울특별시 서초구 반포대로24길 20 민성빌딩 3층 (서초동),중소기업
(주)우성넷콤,대전광역시 중구 목중로16번길 46 1층 (중촌동),중소기업
(주) 굿앤그레이트테크놀로지,서울특별시 금천구 가산디지털1로 88 1605 (가산동),중소기업
은아로,인천광역시 서구 검단로 836 109동 602호 (불로동 월드아파트),중소기업
오성네트웍스,충청북도 충주시 금봉대로 678 (연수동),중소기업
성은이망극,경기도 김포시 운양로 174 4동 4층 402호(운양동 성창아파트),중소기업
디지털정보통신(주),대전광역시 유성구 현충원로347번길 71-7 (구암동),중소기업
에스알씨앤피 주식회사,경기도 안양시 동안구 시민대로 230 디동 13층 1348호(관양동 평촌아크로타워),중소기업
대운공간정보 주식회사,경기도 남양주시 별내면 청학로114번길 36  상가동 203호,중소기업
(주)지엔기술,서울특별시 금천구 디지털로 173 401호 (가산동 엘리시아),중소기업
디지시스 주식회사,서울특별시 영등포구 국회대로76길 22 기계산업진흥회 신관11층 (여의도동),중소기업
주식회사 한영솔루텍,서울특별시 금천구 가산디지털1로 30 505호 (가산동 에이스하이엔드타워 10차),중소기업
(주)브라우니솔루션앤컴퍼니,서울특별시 서초구 서초대로56길 18 1동 5층 1호 (서초동 유니언타운 교대),중소기업
(주)큐브씨엔아이,서울특별시 관악구 관악로 1 312-511(신림동서울대학교정밀기계설계공동연구소),중소기업
호드림,서울특별시 송파구 강동대로9길 20 101동 1105호 (풍납동 연지토성아파트),중소기업
제이케이컴퍼니,서울특별시 강북구 도봉로67길 55 1층 (미아동),중소기업
이브닝,서울특별시 중랑구 신내로25가길 7-11 301호 (묵동),중소기업
굿어스(주),서울 강남구 선릉로 514 (삼성동성원빌딩),대기업
(주)한양티엔비,경기도 남양주시 다산지금로 202 A동 6층 6호7호8호(다산동 현대테라타워DIMC),중소기업
주식회사 오내피플,서울특별시 마포구 백범로31길 21 서울창업허브 6층 631호 (공덕동서울복지타운),중소기업
주식회사 성주아이앤티,서울특별시 서대문구 통일로 484 3층 325-3호(홍제동 서대문구신지식산업센터),중소기업
다원,경기도 성남시 중원구 양현로 411 902호 (여수동 시티오피스타워),중소기업
비앤오소프트 주식회사,서울특별시 구로구 디지털로 243 1005호 (구로동 지하이시티),중소기업
(주)에르타,서울특별시 금천구 두산로 70 비동 1201호 (독산동),중소기업
주식회사 트리스톤,광주광역시 북구 첨단과기로208번길 43-10 722호(오룡동 마루힐아이비씨지식산업센터),중소기업
화신기업,전라남도 영광군 홍농읍 홍농로 793,중소기업
성은기업,전라남도 영광군 홍농읍 홍농로 799,중소기업
한울이엔지,대구광역시 북구 이곡길 79 (서변동),중소기업
성화기업,전라남도 영광군 홍농읍 홍농로 793 1층,중소기업
(주)레귤러볼드,서울특별시 성동구 서울숲2길 32-14 301 (성수동1가 갤러리아 포레),중소기업
(주)와이앤엘,경기도 화성시 남양읍 남양로452번길 18-6 제2동,중소기업
주식회사 오픈소스컨설팅,서울특별시 강남구 테헤란로83길 32 5층(삼성동 나라키움삼성동A빌딩),중소기업
주식회사 더켄버스,서울특별시 송파구 충민로 52 2층 디203호(문정동 가든파이브웍스),중소기업
주식회사 네오스텍,대전광역시 유성구 가정로 218 501호(가정동 융합기술연구생산센터),중소기업
주식회사 디케이소프트,경상북도 포항시 남구 오천읍 원동로 3 2층 203씨호(메트로프라자),중소기업
주식회사 동양이앤티,전라남도 화순군 화순읍 상삼1길 29,중소기업
큐패스코리아 주식회사,경기도 용인시 수지구 광교중앙로 338 씨동 8층 802호(상현동 광교우미뉴브),중소기업
네이밋(NameIT),경기도 남양주시 다산중앙로19번길 21 F1028호 (다산동 다산진건 블루웨일 지식산업센터1차),중소기업
주식회사 조이그램,전라북도 익산시 동서로 370 1층 103호 (영등동),중소기업
(주)포브스튜디오,서울특별시 강남구 영동대로85길 9 6층(대치동),중소기업
만경엔지니어링 주식회사,세종특별자치시 조치원읍 행복11길 24 2층,중소기업
주식회사 청원씨엔텍,충청북도 청주시 청원구 북이면 금암1길 80-6 1층,중소기업
주식회사 해종,충청북도 괴산군 불정면 신흥5길 16-8,중소기업
주식회사 커넥트브릭,경기도 고양시 일산서구 고양대로 283 207208호 (대화동 한국건설기술연구원 28동 스마트건설지원센터 2센터),중소기업
하늘통신,경상남도 진주시 범골로54번길 30-9 B동706호 드림IT밸리 (충무공동),중소기업
주식회사 온라인코리아,강원도 춘천시 후석로420번길 7 506호 (후평동 춘천하이테크타워),중소기업
주식회사 서울소프트,충청북도 충주시 중앙로 80 501호(성서동 네오메디 클리닉센타),중소기업
고려이엔티(주),충청북도 괴산군 청안면 운곡길 132,중소기업
주식회사 수한이엔지,전라북도 완주군 봉동읍 완주산단6로 224 창조관동 2층 221~222호((재)전북테크노파크 전북과학기술진흥센터),중소기업
청보엔지니어링(주),충청북도 옥천군 옥천읍 옥천농공길 146-3 주1동,중소기업
슈어엠주식회사,서울특별시 광진구 광나루로56길 85 8층 씨120호 (구의동 테크노-마트21),중소기업
피아트SID 주식회사,서울특별시 양천구 목동동로 233-1 (목동 현대드림타워 14141415호),중소기업
영인과학(주),서울특별시 강남구 압구정로28길 22(신사동),중소기업
(주)알엠테크,경기도 부천시 조마루로385번길 122 21층 2116호 (춘의동 삼보테크노타워),중소기업
주식회사 티플리스,서울특별시 금천구 가산디지털1로 181 15층 1515호 (가산동),중소기업
주식회사 한국통신공사,충청북도 증평군 증평읍 초중1길 119,중소기업
퍼스트정보기술,충청북도 증평군 증평읍 초중1길 119 2층,중소기업
주식회사 솔루윈,경기도 용인시 수지구 신수로 767 에이동 622호(동천동 분당수지유타워),중소기업
(주)세니츠코퍼레이션,서울특별시 금천구 가산디지털1로 233 1107(가산동 에이스하이엔드타워9차),중소기업
주식회사 와이에스솔루션,경기도 김포시 사우중로 79 304-3호 (북변동),중소기업
골뱅이,경기도 광명시 소하로 190 광명지타워 B동 1501호 (소하동),중소기업
주식회사 유피엠,경기도 광명시 소하로 190 비동 1501호(소하동 광명지타워),중소기업
(주)가니타니,충청남도 아산시 배방읍 희망로46번길 45-7 5층 510호(창조빌딩),중소기업
(주)한국스테노,서울시 구로구 디지털로 31길 38-9 707호(구로동 에이스테크노타워1차),중소기업
(주)네이즈,서울특별시 강남구 테헤란로 411 9층 (삼성동 성담빌딩),중소기업
(주)바우정보시스템,대전광역시 서구 둔산대로117번길 76 703호(만년동 리체스오피스텔),중소기업
(주)대은,제주특별자치도 제주시 첨단로8길 34(아라일동),중소기업
(주)바이어블비젼,대구광역시 서구 북비산로74길 36 (비산동),중소기업
하나로애드컴,서울특별시 강남구 도산대로33길 8 5층 (신사동 산도빌딩),중소기업
(주)엔택,경기도 고양시 덕양구 삼원로 83 1416호 1417호 (원흥동 광양 프런티어밸리 6차),중소기업
유한회사 새롬정보통신,전라북도 익산시 무왕로 1484(팔봉동),중소기업
주식회사 엠시드,전라남도 무안군 청계면 청계공단1길 105-23,중소기업
아이엠테크,부산 금정구 부곡로 156번길 2 3층,중소기업
주식회사 달타냥,서울특별시 성북구 월곡로10길 160 4층 (종암동),중소기업
주식회사 이앤이,강원도 춘천시 동면 춘천순환로 810 이앤이,중소기업
(주)대한네트웍,전라남도 장성군 진원면 청용길 65-6,중소기업
(주)에이아이빌,서울특별시 영등포구 국회대로72길 22 4층 407호 (여의도동),중소기업
에코앤지오 주식회사,경기도 성남시 중원구 사기막골로45번길 14 B동 1701호 (상대원동 성남우림라이온스밸리2차),중소기업
주식회사 이지팜소프트,전라북도 김제시 진봉면 심포1길 50,중소기업
(주)비주얼라이트,대전광역시 유성구 대덕대로512번길 20 CT센터 204호 (도룡동 대전정보문화산업진흥원),중소기업
주식회사와이드이엔씨,서울특별시 송파구 위례송파로 77 807호(거여동우성어반타워),중소기업
디앤피플래닛,부산광역시 해운대구 센텀1로 9 제에스동 2층 221호(우동 롯데갤러리움센텀),중소기업
주식회사 디스페이스코리아,서울특별시 서초구 마방로 60 동원 FnB 빌딩 16층 (양재동),중소기업
(주)린치핀,부산광역시 사하구 낙동대로550번길 37 에스14-0119(하단동 동아대학교),중소기업
주식회사 유에이시스템,서울특별시 마포구 양화로 156 11층 1221호 (동교동),중소기업
(주)자이오넥스,서울특별시 마포구 상암동 1605 누리꿈스퀘어 연구개발타워 908,중소기업
(유)영화통신,전라남도 목포시 호남로 45 (양동),중소기업
커머너즈,서울특별시 종로구 창경궁로31길 8 5층 (명륜2가),중소기업
(주)루텍에스,인천광역시 남동구 호구포로 189 810호 (고잔동 남동테크노타워 지식산업센터),중소기업
(주) 대덕,인천광역시 남동구 문화로145번길 48-4 204호 (구월동),중소기업
(주)아이넥스트글로벌,서울특별시 종로구 종로41길 36 세동빌딩 402호 (종로6가),중소기업
주식회사 웨일미디어,서울특별시 강남구 논현로86길 34 포커스빌딩 4층 (역삼동),중소기업
(주)앤스트,경상남도 진주시 동부로169번길 12 3층 325호 (충무공동 윙스타워),중소기업
성현기업(주),경기도 용인시 처인구 모현읍 백옥대로 2031-16,중소기업
주식회사 씨스텍,서울특별시 광진구 능동로 209 세종대학교 창업지원센터 대양AI센터 1동 3층 329호 (군자동),중소기업
(주)베텍,대전광역시 유성구 테크노3로 24(관평동),중소기업
주식회사 맥스컴,경기도 성남시 중원구 둔촌대로 494 비동 3층 (상대원동),중소기업
주식회사 드림아이디어소프트,대구광역시 동구 동대구로 465 1101호~1104호(신천동 대구스케일업허브),중소기업
주식회사 리버그룹,인천광역시 서구 청라에메랄드로102번길 8-18 107호(청라동 청라캐널큐브),중소기업
주식회사 블록크래프터스,서울특별시 서초구 강남대로 327 17층 18층 블록크래프터스 (서초동 대륭서초타워),중소기업
(주)한국융합아이티,경기도 용인시 기흥구 동백중앙로16번길 16-25 307(중동대우프론티어밸리1단지),중소기업
주식회사 새론,강원도 춘천시 경춘로 2269 2층 (온의동),중소기업
주식회사 리드스피커코리아,서울특별시 성동구 아차산로 153 9층 (성수동2가 예림출판문화센터9층),대기업
새론정보통신,강원도 춘천시 경춘로 2269 (온의동),중소기업
(주)일루니,서울특별시 서초구 서초대로24길 38 4층 401호 (방배동 광진빌딩),중소기업
블록체인랩스 주식회사,서울특별시 서초구 강남대로 311 10층 1015호 (서초동),중소기업
룩스전기통신,경상남도 창원시 의창구 차상로150번길 10 창원전자상가 206호 (팔용동),중소기업
문화공작소 협동조합,세종특별자치시 집현중앙7로 6 A동 301호 (집현동 지식산업센터),중소기업
마이크로정보,충청남도 금산군 금산읍 인삼로 28,중소기업
하이눈정보통신,부산광역시 연제구 거제대로252번길 32 (거제동),중소기업
주식회사 디티,경기도 용인시 처인구 모현읍 백옥대로 2031-16,중소기업
티에스에스(TSS),경상북도 구미시 1공단로 212 10층 18호 (공단동 구미한라시그마밸리),중소기업
주식회사 케이원,서울특별시 금천구 가산디지털2로 14 14층 1405 1406호 (가산동),중소기업
주식회사 제우스,제주특별자치도 제주시 첨단로 175(영평동),중소기업
유니플러스,경기도 안성시 대덕면 서동대로 4721 3층 301호,중소기업
(주)아워콤,경기도 성남시 분당구 정자일로 177 B동 1606호 (정자동인텔리지Ⅱ),중소기업
태성이엔지,경상남도 김해시 삼안로16번길 19 2층 (지내동),중소기업
주식회사 엠지자산관리,서울특별시 강서구 공항대로 390 7층 (화곡동 새마을금고아이티센터),중소기업
기테크,경기도 파주시 경의로 1114 4층 405전호(야당동 에펠타워),중소기업
제이알코퍼레이션,인천광역시 계양구 효서로 417 103동 503호 (서운동 계양임광그대가),중소기업
주식회사 이디아트,경기도 김포시 태장로 751 431호 (장기동 테라비즈타워),중소기업
라우루스,인천광역시 계양구 계양문화로 119 101동 1502호 (용종동 인천 계양 코아루 센트럴파크),중소기업
(주)해솔데이타,서울특별시 영등포구 당산로41길 11 E동 912호 (당산동4가),중소기업
앨리스그라운드,인천광역시 계양구 효서로 417 103-503 (서운동 계양임광그대가),중소기업
지아이플랜 주식회사,경기도 고양시 일산서구 킨텍스로 255 사무동 604호 (대화동),중소기업
주식회사 리빌더에이아이,서울특별시 서초구 서초대로 396(서초동 강남빌딩),중소기업
에이지로보틱스 주식회사,경상남도 창원시 마산회원구 내서읍 광려천남로 59 610호,중소기업
주식회사 한국미래정책연구원,인천 남동구 구월남로 148 (구월동 타워플러스 제3층 304호),중소기업
인트플로우 주식회사,광주광역시 동구 금남로 193-12 4층 401호(금남로4가 광주 AI창업캠프 2호점),중소기업
(주)신명건설기술공사,전라남도 순천시 가곡길 12 (가곡동),중소기업
(주)엔팩코리아,부산광역시 강서구 명지국제11로 57 402호(명지동 원프라자),중소기업
주식회사 원패스통신,인천광역시 중구 영종대로 881 2206호 (중산동),중소기업
주식회사 테크엔,인천광역시 부평구 새벌로 29 620호(청천동 부평테크노타워),중소기업
주식회사 디자인연구소이락건축사사무소,경기도 안양시 동안구 학의로 282 B동 8층 814호 (관양동 금강펜테리움IT타워),중소기업
(주)에이아이더뉴트리진 서울사무소,서울특별시 강남구 논현로 503 17층 (역삼동 송촌빌딩),중소기업
주식회사 에디터팀워크,경기도 광주시 오포읍 문형산길 102-23 104동 401호 (더 프라임),중소기업
세기정보통신,울산광역시 남구 테크노산업로55번길 16 6층 601호(두왕동하이테크타운),중소기업
원플러스이엔씨 주식회사,경기도 시흥시 신현로38번길 4-2 (포동),중소기업
주식회사 신컴퍼니(SHIN Company),경기도 고양시 일산동구 중앙로 1227 1009호 (장항동),중소기업
주식회사 그레이비랩,서울특별시 강남구 테헤란로 322 서관 1410호 (역삼동),중소기업
주식회사 펀앤뉴,경기도 용인시 기흥구 동백3로11번길 3 801호(동백역타워) (중동),중소기업
주식회사 메가크래프트,경기도 안양시 동안구 흥안대로 415 918호 (평촌동 두산벤처다임),중소기업
주식회사 킥스,경기도 안양시 동안구 엘에스로 122 8층 818 (호계동 호계 데시앙플렉스),중소기업
한누리소프트,경기도 성남시 분당구 판교로 700 E동 B115호(야탑동 분당테크노파크),중소기업
주식회사 에이트원,경기도 광명시 새빛공원로 67 제25층 제에이 2508호(일직동),중소기업
플러그미디어웍스,충청북도 청주시 흥덕구 직지대로436번길 76 1412호 (송정동 직지스마트타워),중소기업
(주) 프리미어아이씨티,경기도 광명시 하안로 60 비동 507호 일부(소하동 광명테크노파크),중소기업
주식회사 쿼드마이너,서울특별시 강남구 테헤란로 138 6층 (역삼동 성홍타워),중소기업
주식회사 하나전기통신,충청남도 홍성군 홍성읍 월계천길 264 2층 1호,중소기업
주식회사 뉴로메카,서울특별시 성동구 연무장5가길 7 더블유1501~1506호(성수동2가 성수역 현대테라스타워),중소기업
주식회사 드림브이알,충청남도 아산시 배방읍 희망로46번길 45-7 2층 202호(창조빌딩),중소기업
(주)테라시스템,대전광역시 서구 대덕대로175번길 60 112호 (둔산동),중소기업
주식회사 금하테크,전라남도 나주시 동수농공단지길 137-9(동수동),중소기업
주식회사 에드원,서울특별시 영등포구 당산로41길 11 E동 1109호(당산동4가 SK V1센터),중소기업
(주) 더스토리하우스,서울특별시 마포구 월드컵북로 402 16(상암동 케이지아이티센터),중소기업
(주)뉴시티공간정보,경상북도 경주시 화랑로70번길 8-1 2층 201호 (노서동),중소기업
주식회사 엔아이디씨엔에스,서울특별시 성동구 성수이로 118 1814호 (성수동2가 성수아카데미타워),중소기업
뉴젠제트 주식회사,서울특별시 영등포구 경인로 775 1동 11층 1103호(문래동3가 에이스하이테크시티),중소기업
주시회사 제일전기통신,충청남도 태안군 태안읍 순환길 26,중소기업
선진지앤아이(주),경기도 하남시 미사강변남로 103 6층 609호 (망월동 미사랑데르Ⅲ),중소기업
(주)스케치북스,서울특별시 서초구 강남대로37길 42 2층(서초동),중소기업
주식회사 엠씨크리에이티브,서울특별시 영등포구 양산로 91 915호 (당산동3가 리드원센터),중소기업
(주) 글로벌에이엔씨,서울특별시 서초구 효령로53길 18 907호(서초동 석탑오피스텔),중소기업
주식회사 대건전력,서울특별시 도봉구 도봉로155길 47 101호 (도봉동 동성골든빌),중소기업
주식회사 유일,충청북도 충주시 봉계1길 32 302호 (봉방동),중소기업
주식회사 메타스페이스,충청북도 청주시 흥덕구 오송읍 공북1길 26,중소기업
주식회사 경기종합기술,충청북도 청주시 서원구 가장로355번길 132 (장성동),중소기업
주식회사 마인드포지,서울특별시 강남구 논현로134길 9 402호(논현동 신창빌딩),중소기업
현대씨앤알(주),서울특별시 송파구 송파대로 570 (신천동),대기업
건축도시경관연구소,경상남도 창원시 의창구 원이대로 283 3층 306호(봉곡동 청마상가),중소기업
주식회사 성민전기통신,서울특별시 도봉구 해등로 345 B01호(쌍문동),중소기업
주식회사 에이투엘,경기도 성남시 중원구 광명로 377 창업관 810호 (금광동 신구대학),중소기업
주식회사 대한전력,충청남도 홍성군 구항면 충서로872번길 3 2호,중소기업
주식회사 누리나루,경기도 하남시 조정대로 45 에프1023호 (풍산동),중소기업
클라임테크 주식회사,경기도 파주시 상골길 157-14 (맥금동 외 1필지 616-4),중소기업
(주)볕터건축사사무소,서울특별시 강서구 마곡중앙로 161-8 A동 916호(마곡동더랜드파크),중소기업
(주)와이디엔에스,경기도 성남시 수정구 금토로80번길 11 1406호(금토동 판교이노베이션랩 지식산업센터),중소기업
천수정보통신,경상북도 경주시 초당길43번길 7 (동천동),중소기업
주식회사 코리아테크노,경기도 부천시 원미로 243 4층 403호 (춘의동),중소기업
(TS) 산업,경기도 용인시 기흥구 영통로525번길 24 4층 343호(영덕동 황곡프라자),중소기업
(주)경일,경기도 수원시 팔달구 권광로134번길 40 4층 2호 (인계동 두선빌딩),중소기업
요망진 스튜디오 (Yomangzin Studio),경기도 성남시 분당구 대왕판교로645번길 12 79층 134호 (삼평동 경기창조경제혁신센터),중소기업
